size,path,id,color,name,entityID,order,s_height,height,guid,ground_lev,rise_by,level,coordinates
1000,city/house/house.16,house.16,"rgb(189, 186, 0)",,20afdab2-c3d3-4f9b-b212-c1f3d501bedc,1.0,0.0,4.0,84a9c4b5-cdf3-4c53-87e1-fb32662af925,Raise or lower,4.0,0.0,"[[[119.97422883779143, 30.522160867225402], [119.97422824328243, 30.52208996965437], [119.97417718277872, 30.522091695198817], [119.97417761263976, 30.522161639805574], [119.97422883779143, 30.522160867225402]]]"
1000,city/house/house.17,house.17,"rgb(189, 186, 0)",,21d44a38-ca6b-4af0-a784-2d10f70c514b,1.0,0.0,8.0,5323d821-edf2-4483-b310-ffb2a0db694e,Raise or lower,8.0,0.0,"[[[119.97454692533829, 30.521955505239436], [119.97447072011006, 30.521954766203365], [119.97446980328901, 30.522089431978255], [119.97454626517442, 30.522089981173416], [119.97454692533829, 30.521955505239436]]]"
1000,city/house/house.18,house.18,"rgb(189, 186, 0)",,22dae15e-aed6-49b6-a2a6-1ff9dc0b351e,1.0,0.0,4.0,1dfdd5df-605c-4cd7-8049-c51e17c52788,Raise or lower,4.0,0.0,"[[[119.97467585710054, 30.521494920919764], [119.97467021492638, 30.521265281653605], [119.97458930819114, 30.5212672079813], [119.97459585227573, 30.521497938222716], [119.97467585710054, 30.521494920919764]]]"
1000,city/house/house.19,house.19,"rgb(255, 183, 0)",A区3栋,22e634ff-174c-454c-beda-c497dd0b800c,1.0,0.0,95.0,09b73536-d1c5-4447-8c11-a86914dc55d7,Raise or lower,95.0,0.0,"[[[119.97385888165256, 30.523643062649295], [119.9738282371103, 30.523308564579718], [119.97339731779938, 30.523338780564437], [119.97342542125487, 30.523671447013896], [119.97385888165256, 30.523643062649295]]]"
1000,city/house/house.20,house.20,"rgb(189, 186, 0)",,238c0396-ccfc-4c92-b364-534f46f3bb56,1.0,0.0,4.0,15b0991d-0acb-4707-b7e1-c60e95124204,Raise or lower,4.0,0.0,"[[[119.97404051676766, 30.520481815497583], [119.9740293846833, 30.520428203708622], [119.97399919309102, 30.520432293597594], [119.97401000925862, 30.52048671701169], [119.97404051676766, 30.520481815497583]]]"
1000,city/house/house.21,house.21,"rgb(255, 183, 0)",A区9栋,260cd6a8-1b61-44d6-9d2f-18cfc1e4eb6b,1.0,0.0,20.0,cce8c156-660e-4f8e-ba32-86e5687241b7,Raise or lower,20.0,0.0,"[[[119.97502822826836, 30.52313260672244], [119.97505341642045, 30.522917222325656], [119.97477177183406, 30.52289234529812], [119.97474721087681, 30.52310863337916], [119.97502822826836, 30.52313260672244]]]"
1000,city/house/house.22,house.22,"rgb(189, 186, 0)",,26957b84-0d37-425e-ba8f-97a2ac0a15ab,1.0,0.0,8.0,9c6364cd-9dd4-4523-8c56-9bd255b9124c,Raise or lower,8.0,0.0,"[[[119.97302040334218, 30.520477460891076], [119.97314074188584, 30.520468968489773], [119.97313374817762, 30.520398617985247], [119.97301157363573, 30.520408457712715], [119.97302040334218, 30.520477460891076]]]"
1000,city/house/house.23,house.23,"rgb(189, 186, 0)",,2a7ea4ba-9ba4-4cea-9817-0607706278c7,1.0,0.0,8.0,eaa2164d-4183-4634-8b99-b683963c3470,Raise or lower,8.0,0.0,"[[[119.97491006618856, 30.52161507063525], [119.97504361421207, 30.521634208924482], [119.97505396193199, 30.52157975646504], [119.9749207623718, 30.52155971747182], [119.97491006618856, 30.52161507063525]]]"
1000,city/house/house.24,house.24,"rgb(189, 186, 0)",,2dc5b59b-3fff-4e91-a077-b0c4b7e2775c,1.0,0.0,4.0,50786d9c-f3c4-4df6-8911-3024fa4a71d5,Raise or lower,4.0,0.0,"[[[119.97323506171651, 30.52074557718173], [119.97324109591442, 30.520799615173278], [119.97327274946439, 30.520797002190015], [119.97326668833006, 30.520743065191354], [119.97323506171651, 30.52074557718173]]]"
1000,city/house/house.25,house.25,"rgb(255, 183, 0)",国遥大厦5栋,32521c56-3708-4afa-aead-cadaef010870,1.0,0.0,20.0,6d1b85a6-9f86-4389-b9f1-482c7966d9c2,Raise or lower,20.0,0.0,"[[[119.97726721055383, 30.523253875133683], [119.97725686639839, 30.52323870656156], [119.97697355483703, 30.523197267784848], [119.97692875993843, 30.523417278368758], [119.977229025469, 30.523470275189773], [119.97726721055383, 30.523253875133683]]]"
1000,city/house/house.26,house.26,"rgb(189, 186, 0)",,36dd840e-0739-4f5a-bb61-0c2a8e2fdd44,1.0,0.0,8.0,06c9fd23-b6d3-4b87-9c72-1ebf7293ef73,Raise or lower,8.0,0.0,"[[[119.97391173764713, 30.52019465279555], [119.97383318363865, 30.520197205812625], [119.97384264142698, 30.52042814396951], [119.97392224368143, 30.520425491192753], [119.97391173764713, 30.52019465279555]]]"
1000,city/house/house.27,house.27,"rgb(255, 183, 0)",国遥大厦2栋,38f5c459-c7e2-4e18-8846-6088f24a8915,1.0,0.0,54.0,d91620f1-a874-43f1-94e6-2c9870cfafdc,Raise or lower,54.0,0.0,"[[[119.97639961181486, 30.52341574116043], [119.97673932295741, 30.5234668999135], [119.97679309131534, 30.5231746146907], [119.97645162018766, 30.523125035110876], [119.97639961181486, 30.52341574116043]]]"
