"~id","~start_node_id","~end_node_id","~relationship_type"
"362","4271","6567","exist_in"
"363","4043","6567","exist_in"
"364","4272","6567","exist_in"
"365","4019","6568","exist_in"
"366","4161","6568","exist_in"
"367","4175","6568","exist_in"
"368","4131","6568","exist_in"
"369","4273","6568","exist_in"
"370","4274","6568","exist_in"
"371","4275","6568","exist_in"
"372","4199","6568","exist_in"
"373","4276","6568","exist_in"
"374","4277","6568","exist_in"
"375","4278","6570","exist_in"
"376","4072","6570","exist_in"
"377","4279","6570","exist_in"
"378","4280","6571","exist_in"
"379","4281","6571","exist_in"
"380","4282","6571","exist_in"
"381","4283","6571","exist_in"
"382","4284","6572","exist_in"
"383","4285","6572","exist_in"
"384","4286","6573","exist_in"
"385","4261","6573","exist_in"
"386","4287","6574","exist_in"
"387","4288","6575","exist_in"
"388","4289","6575","exist_in"
"389","4290","6575","exist_in"
"390","4291","6576","exist_in"
"391","4292","6577","exist_in"
"392","4027","6577","exist_in"
"393","4293","6578","exist_in"
"394","4294","6578","exist_in"
"395","4295","6579","exist_in"
"396","4019","6579","exist_in"
"397","4296","6579","exist_in"
"398","4297","6580","exist_in"
"399","4298","6581","exist_in"
"400","4299","6581","exist_in"
"401","4300","6581","exist_in"
"402","4301","6581","exist_in"
"403","4302","6582","exist_in"
"404","4303","6583","exist_in"
"405","4304","6585","exist_in"
"406","4305","6585","exist_in"
"407","4306","6586","exist_in"
"408","4307","6586","exist_in"
"409","4251","6587","exist_in"
"410","4308","6587","exist_in"
"411","4304","6588","exist_in"
"412","4309","6588","exist_in"
"413","4310","6588","exist_in"
"414","4311","6589","exist_in"
"415","4175","6590","exist_in"
"416","4199","6590","exist_in"
"417","4312","6592","exist_in"
"418","4313","6592","exist_in"
"419","4314","6593","exist_in"
"420","4022","6594","exist_in"
"421","4315","6595","exist_in"
"422","4161","6596","exist_in"
"423","4316","6596","exist_in"
"424","4020","6596","exist_in"
"425","4235","6596","exist_in"
"426","4190","6596","exist_in"
"427","4074","6596","exist_in"
"428","4317","6596","exist_in"
"429","4318","6596","exist_in"
"430","4137","6596","exist_in"
"431","4191","6596","exist_in"
"432","4319","6596","exist_in"
"433","4020","6598","exist_in"
"434","4320","6598","exist_in"
"435","4235","6599","exist_in"
"436","4019","6599","exist_in"
"437","4022","6599","exist_in"
"438","4137","6599","exist_in"
"439","4321","6600","exist_in"
"440","4043","6601","exist_in"
"441","4322","6602","exist_in"
"442","4068","6602","exist_in"
"443","4323","6602","exist_in"
"444","4324","6603","exist_in"
"445","4325","6603","exist_in"
"446","4326","6603","exist_in"
"447","4327","6603","exist_in"
"448","4328","6603","exist_in"
"449","4329","6603","exist_in"
"450","4330","6603","exist_in"
"451","4331","6603","exist_in"
"452","4332","6604","exist_in"
"453","4333","6604","exist_in"
"454","4334","6604","exist_in"
"455","4068","6604","exist_in"
"456","4335","6604","exist_in"
"457","4336","6604","exist_in"
"458","4337","6604","exist_in"
"459","4175","6605","exist_in"
"460","4199","6605","exist_in"
"461","4338","6605","exist_in"
"462","4339","6605","exist_in"
"463","4020","6607","exist_in"
"464","4320","6607","exist_in"
"465","4235","6607","exist_in"
"466","4190","6607","exist_in"
"467","4340","6607","exist_in"
"468","4339","6607","exist_in"
"469","4341","6608","exist_in"
"470","4019","6609","exist_in"
"471","4020","6609","exist_in"
"472","4342","6609","exist_in"
"473","4304","6610","exist_in"
"474","4019","6610","exist_in"
"475","4343","6610","exist_in"
"476","4344","6610","exist_in"
"477","4022","6610","exist_in"
"478","4345","6612","exist_in"
"479","4038","6613","exist_in"
"480","4346","6613","exist_in"
"481","4347","6613","exist_in"
"482","4348","6613","exist_in"
"483","4349","6613","exist_in"
"484","4043","6613","exist_in"
"485","4049","6613","exist_in"
"486","4350","6614","exist_in"
"487","4316","6614","exist_in"
"488","4351","6614","exist_in"
"489","4352","6614","exist_in"
"490","4353","6614","exist_in"
"491","4161","6615","exist_in"
"492","4316","6615","exist_in"
"493","4354","6615","exist_in"
"494","4355","6616","exist_in"
"495","4068","6616","exist_in"
