size,path,id,color,name,coordinates,description,type,nodeVisibility
5000,LOC.20/DATA,LOC.20.DATA,#8579ec,landslide.LOC.20.DATA,"['14.5233', '41.5833']",,DATA,FALSE
10000,LOC.21,LOC.21,#2579e8,landslide.LOC.21,"['146.7265', '-41.1211']",Agnus Creek valley,LOC,FALSE
5000,LOC.21/MED,LOC.21.MED,#27cf7e,landslide.LOC.21.MED,"['146.7265', '-41.1211']",,MED,FALSE
5000,LOC.21/FAC,LOC.21.FAC,#f0a73a,landslide.LOC.21.FAC,"['146.7265', '-41.1211']",,FAC,FALSE
5000,LOC.21/DATA,LOC.21.DATA,#8579ec,landslide.LOC.21.DATA,"['146.7265', '-41.1211']",,DATA,FALSE
10000,LOC.22,LOC.22,#2579e8,landslide.LOC.22,"['5.5311', '5.5060']",Ago District,LOC,FALSE
5000,LOC.22/MED,LOC.22.MED,#27cf7e,landslide.LOC.22.MED,"['5.5311', '5.5060']",,MED,FALSE
5000,LOC.22/FAC,LOC.22.FAC,#f0a73a,landslide.LOC.22.FAC,"['5.5311', '5.5060']",,FAC,FALSE
5000,LOC.22/DATA,LOC.22.DATA,#8579ec,landslide.LOC.22.DATA,"['5.5311', '5.5060']",,DATA,FALSE
10000,LOC.23,LOC.23,#2579e8,landslide.LOC.23,"['72.7833', '34.0192']",AH - 1,LOC,FALSE
5000,LOC.23/MED,LOC.23.MED,#27cf7e,landslide.LOC.23.MED,"['72.7833', '34.0192']",,MED,FALSE
5000,LOC.23/FAC,LOC.23.FAC,#f0a73a,landslide.LOC.23.FAC,"['72.7833', '34.0192']",,FAC,FALSE
5000,LOC.23/DATA,LOC.23.DATA,#8579ec,landslide.LOC.23.DATA,"['72.7833', '34.0192']",,DATA,FALSE
10000,LOC.24,LOC.24,#2579e8,landslide.LOC.24,"['74.1280', '34.1271']",AH - 2,LOC,FALSE
5000,LOC.24/MED,LOC.24.MED,#27cf7e,landslide.LOC.24.MED,"['74.1280', '34.1271']",,MED,FALSE
5000,LOC.24/FAC,LOC.24.FAC,#f0a73a,landslide.LOC.24.FAC,"['74.1280', '34.1271']",,FAC,FALSE
5000,LOC.24/DATA,LOC.24.DATA,#8579ec,landslide.LOC.24.DATA,"['74.1280', '34.1271']",,DATA,FALSE
10000,LOC.25,LOC.25,#2579e8,landslide.LOC.25,"['72.7833', '34.0192']",AH48,LOC,FALSE
5000,LOC.25/MED,LOC.25.MED,#27cf7e,landslide.LOC.25.MED,"['72.7833', '34.0192']",,MED,FALSE
5000,LOC.25/FAC,LOC.25.FAC,#f0a73a,landslide.LOC.25.FAC,"['72.7833', '34.0192']",,FAC,FALSE
5000,LOC.25/DATA,LOC.25.DATA,#8579ec,landslide.LOC.25.DATA,"['72.7833', '34.0192']",,DATA,FALSE
10000,LOC.26,LOC.26,#2579e8,landslide.LOC.26,"['35.7516', '32.3335']",Ajloun and Jerash governorates in Jordan,LOC,FALSE
5000,LOC.26/MED,LOC.26.MED,#27cf7e,landslide.LOC.26.MED,"['35.7516', '32.3335']",,MED,FALSE
5000,LOC.26/FAC,LOC.26.FAC,#f0a73a,landslide.LOC.26.FAC,"['35.7516', '32.3335']",,FAC,FALSE
5000,LOC.26/DATA,LOC.26.DATA,#8579ec,landslide.LOC.26.DATA,"['35.7516', '32.3335']",,DATA,FALSE
10000,LOC.27,LOC.27,#2579e8,landslide.LOC.27,"['138.1875', '35.6595']",Akaishi Mountains,LOC,FALSE
5000,LOC.27/MED,LOC.27.MED,#27cf7e,landslide.LOC.27.MED,"['138.1875', '35.6595']",,MED,FALSE
5000,LOC.27/FAC,LOC.27.FAC,#f0a73a,landslide.LOC.27.FAC,"['138.1875', '35.6595']",,FAC,FALSE
5000,LOC.27/DATA,LOC.27.DATA,#8579ec,landslide.LOC.27.DATA,"['138.1875', '35.6595']",,DATA,FALSE
10000,LOC.28,LOC.28,#2579e8,landslide.LOC.28,"['-3.9492', '35.0527']",Aknoul region in the Rif,LOC,FALSE
5000,LOC.28/MED,LOC.28.MED,#27cf7e,landslide.LOC.28.MED,"['-3.9492', '35.0527']",,MED,FALSE
5000,LOC.28/FAC,LOC.28.FAC,#f0a73a,landslide.LOC.28.FAC,"['-3.9492', '35.0527']",,FAC,FALSE
5000,LOC.28/DATA,LOC.28.DATA,#8579ec,landslide.LOC.28.DATA,"['-3.9492', '35.0527']",,DATA,FALSE
10000,LOC.29,LOC.29,#2579e8,landslide.LOC.29,"['35.1400', '32.0986']",Al - Hasher,LOC,FALSE
5000,LOC.29/MED,LOC.29.MED,#27cf7e,landslide.LOC.29.MED,"['35.1400', '32.0986']",,MED,FALSE
5000,LOC.29/FAC,LOC.29.FAC,#f0a73a,landslide.LOC.29.FAC,"['35.1400', '32.0986']",,FAC,FALSE
5000,LOC.29/DATA,LOC.29.DATA,#8579ec,landslide.LOC.29.DATA,"['35.1400', '32.0986']",,DATA,FALSE
10000,LOC.30,LOC.30,#2579e8,landslide.LOC.30,"['-84.0926', '10.0159']",Alajuela,LOC,FALSE
5000,LOC.30/MED,LOC.30.MED,#27cf7e,landslide.LOC.30.MED,"['-84.0926', '10.0159']",,MED,FALSE
